_movie_title_,total_gross,genre
The Hot Chick,35081550,Comedy
White Fang,34729091,Adventure
Judge Dredd,34687912,Action
Muppet Treasure Island,34327391,Adventure
Instinct,34105207,Drama
Adventures in Babysitting,33790923,Comedy
The Joy Luck Club,32790064,Drama
Homeward Bound II: Lost in San Franc…,32709423,Adventure
The 13th Warrior,32698899,Action
When in Rome,32680633,Romantic Comedy
Metro,32017895,Action
Earth,32011576,Documentary
The Apple Dumpling Gang,31916500,Comedy
Can't Buy Me Love,31623833,Romantic Comedy
Eddie,31369401,Comedy
Calendar Girls,31011616,Comedy
Powder,30833914,Drama
I Love Trouble,30806194,Romantic Comedy
Toy Story 3D Double Feature,30702446,Adventure
Delivery Man,30659817,Comedy
Blank Check,30573770,Comedy
Bad Company,30157016,Action
Double Take,29823162,Action
Green Card,29804169,Romantic Comedy
Confessions of a Teenage Drama Queen,29331068,Comedy
A Low Down Dirty Shame,29317886,Action
Shoot to Kill,29300000,Action
Romy and Michele's High School Reunion,29235353,Comedy
3 Ninjas,29028000,Action
Chimpanzee,28965459,Documentary
The Insider,28965197,Drama
James and the Giant Peach,28921264,Adventure
In the Army Now,28881266,Comedy
Deceived,28738096,Thriller/Suspense
Ernest Saves Christmas,28202109,Comedy
"20,000 Leagues Under the Sea",28200000,Adventure
Grosse Pointe Blank,28084357,Black Comedy
Herbie Goes to Monte Carlo,28000000,""
The Rescuers Down Under,27931461,Adventure
The Other Sister,27807627,Romantic Comedy
Never Cry Wolf,27668764,Drama
The Finest Hours,27569558,Thriller/Suspense
The Muppet Christmas Carol,27281507,Comedy
High Fidelity,27277055,Comedy
Spy Hard,26936265,Comedy
Tron,26918576,Action
Stick It,26910736,Comedy
Winnie the Pooh,26692846,Adventure
An American Werewolf in Paris,26570463,Horror
First Kid,26465920,Comedy
Houseguest,26325256,Comedy
Son in Law,25989889,Comedy
Freaky Friday,25942000,Comedy
You Again,25702053,Comedy
Beauty and the Beast (IMAX),25487028,Musical
Dark Water,25473093,Thriller/Suspense
Tin Men,25411386,Comedy
The Absent Minded Professor,25381407,Comedy
Ernest Goes to Jail,25029569,Comedy
Quiz Show,24787282,Drama
Tim Burton's The Nightmare Before Chr…,24732041,Musical
Operation Dumbo Drop,24670346,Adventure
Air Bud,24646936,Comedy
Ice Princess,24381334,Comedy
Renaissance Man,24172899,Comedy
Dead Presidents,24120194,Drama
The Adventures of Huck Finn,24103594,Adventure
The Life Aquatic with Steve Zissou,24006726,Comedy
Around the World in 80 Days,24004159,Adventure
Corky Romano,23978402,Comedy
Tom and Huck,23837227,Adventure
The Great Mouse Detective,23605534,Adventure
Oscar,23562716,Comedy
Ernest Goes to Camp,23509382,Comedy
Piglet's Big Movie,23103423,Comedy
Stay Alive,23086480,Horror
The Program,23042200,Action
D3: The Mighty Ducks,22936273,Comedy
Beloved,22852487,Drama
Guilty as Sin,22622537,Thriller/Suspense
Captain Ron,22518097,Comedy
The Alamo,22406362,Western
The Sword in the Stone,22182353,Adventure
Boys,21930418,Drama
A Lot Like Love,21835784,Comedy
Mr. 3000,21800302,Comedy
Consenting Adults,21591728,Drama
He Got Game,21567853,Drama
Blackbeard's Ghost,21540050,Comedy
Tough Guys,21458229,Comedy
Mr. Magoo,21437192,Comedy
Mars Needs Moms,21392758,Adventure
Cold Creek Manor,21384035,Thriller/Suspense
The Black Cauldron,21288692,Adventure
Straight Talk,21202099,Comedy
Super Mario Bros.,20844907,Action
The Air Up There,20782439,Comedy
Iron Will,20623071,Drama
The Invisible,20568319,Thriller/Suspense
Hello Again,20419446,Comedy
Another Stakeout,20107504,Comedy
Stella,20062347,Drama
Taking Care of Business,20005435,Comedy
Jane Austen's Mafia,19843795,Comedy
Color of Night,19750470,Thriller/Suspense
Gone Fishin',19745922,Comedy
Betsy's Wedding,19740070,Comedy
Valiant,19478106,Adventure
Oceans,19422319,Documentary
Doug's 1st Movie,19421271,Adventure
An Innocent Man,19397847,Drama
Summer of Sam,19288130,Drama
The Secret World of Arietty,19192510,Adventure
Tuck Everlasting,19161999,Drama
Blaze,19049727,Drama
Kazaam,18880508,Comedy
Paradise,18634643,Drama
The Boatniks,18607492,Comedy
Flight of the Navigator,18564613,Adventure
That Darn Cat,18301828,Comedy
Fright Night,18298649,Horror
Simon Birch,18253415,Drama
Pooh's Heffalump Movie,18098433,Adventure
DuckTales: The Movie - Treasure of th…,18075331,Adventure
Bedknobs and Broomsticks,17871174,Musical
Bears,17780194,Documentary
Born Yesterday,17760754,Romantic Comedy
The Big Green,17736619,Comedy
Heavy Weights,17671310,Comedy
Max Keeble's Big Move,17292381,Comedy
Annapolis,17127992,Drama
Rushmore,17105219,Black Comedy
Ghosts of the Abyss,17093668,Documentary
The Country Bears,16988996,Adventure
crazy/beautiful,16929123,Drama
Terminal Velocity,16478900,Action
Monkey Kingdom,16432322,Documentary
Swing Vote,16289867,Comedy
The Devil and Max Devlin,16000000,""
Billy Bathgate,15565363,Drama
Rocket Man,15448043,Comedy
Mad Love,15446532,Drama
African Cats,15428747,Documentary
Mr. Destiny,15379253,Comedy
The Greatest Game Ever Played,15331289,Drama
Benji the Hunted,15212539,Adventure
Gake no ue no Ponyo,15090399,Adventure
Haakon Haakonsen,15024232,Adventure
Spaced Invaders,15000000,Comedy
The Sixth Man,14765099,Comedy
Fire Birds,14760451,Action
Indian Summer,14717851,Comedy
Baby: Secret of the Lost Legend,14276095,Adventure
Ernest Scared Stupid,14143280,Comedy
Out Cold,13906394,Comedy
Return to Snowy River,13687027,Adventure
Nixon,13668249,Drama
A Kid in King Arthur's Court,13406717,Adventure
One Magic Christmas,13229514,Drama
25th Hour,13084595,Drama
The Crew,13019253,Comedy
A Far Off Place,12890752,Adventure
Mr. Wrong,12805071,Romantic Comedy
The Associate,12772657,Comedy
D.O.A.,12706478,Thriller/Suspense
The Light Between Oceans,12545979,Drama
The Marrying Man,12454768,Romantic Comedy
People Like Us,12431792,Drama
Strange Magic,12429583,Adventure
Life With Mikey,12349549,Comedy
A Stranger Among Us,12282994,Drama
I'll Be Home For Christmas,12214338,Comedy
Roommates,12076989,Comedy
Holy Man,12069719,Comedy
3 Ninjas Kick Back,11744960,Action
Gross Anatomy,11346186,Drama
The Ref,11325885,Comedy
Casanova,11304403,Drama
One Good Cop,11276846,Action
Deep Rising,11203026,Action
The Last Flight of Noah’s Ark,11000000,""
New York Stories,10763469,Drama
Return to Oz,10618813,Adventure
Primeval,10597734,Adventure
Camp Nowhere,10442641,Comedy
Roving Mars,10407978,Documentary
The Scarlet Letter,10359006,Drama
Shopgirl,10284523,Drama
White Squall,10229300,Adventure
Babes in Toyland,10218316,Musical
Sorority Boys,10198766,Comedy
Prom,10130219,Comedy
Sen to Chihiro no Kamikakushi,10049886,Adventure
